id_curriculo;codigo;nome_matriz;id_curso;nome_curso;semestre_conclusao_minimo;semestre_conclusao_ideal;semestre_conclusao_maximo;meses_conclusao_minimo;meses_conclusao_ideal;meses_conclusao_maximo;cr_total_minimo;ch_total_minima;ch_optativas_minima;max_eletivos;ch_nao_atividade_obrigatoria;cr_nao_atividade_obrigatorio;ch_atividade_obrigatoria;cr_minimo_semestre;cr_maximo_semestre;ch_minima_semestre;ch_maxima_semestre;periodo_entrada_vigor;ano_entrada_vigor;observacao
386;5657/1;ARTES VISUAIS - BRASÍLIA -  - MT - Licenciado;414553;ARTES VISUAIS;8;10;12;;;;0;2730;1230;360;1500;0;0;;;240;360;1;2018;
176;6181/-3;MEDICINA VETERINÁRIA - BRASÍLIA -  - MT - Médico Veterinário;414202;MEDICINA VETERINÁRIA;10;14;18;;;;0;4005;1815;360;2190;0;0;;;270;510;1;2012;
156;1741/-2;ENGENHARIA DE COMPUTAÇÃO - BRASÍLIA -  - MT - Bacharel;414610;ENGENHARIA DE COMPUTAÇÃO;8;13;18;;;;6;3780;1830;360;1950;6;0;;;210;480;2;2009;
106;8591/-2;CIÊNCIA POLÍTICA - BRASÍLIA -  - MT - Bacharel;414892;CIÊNCIA POLÍTICA;6;9;12;;;;8;2670;1350;360;1320;8;0;;;240;480;1;2016;
120;9296/-3;PEDAGOGIA - BRASÍLIA -  - MT - Licenciado;414231;PEDAGOGIA;10;12;14;;;;0;3240;1020;360;2220;0;0;;;240;420;2;2007;
86;2739/-6;PSICOLOGIA - BRASÍLIA -  - MT - Psicólogo;414962;PSICOLOGIA;10;10;18;;;;54;4140;2940;360;1200;54;0;;;225;510;1;2008;
4005590;6131/1;ENGENHARIA ELETRÔNICA - BRASÍLIA -  - MT - Bacharel;414926;ENGENHARIA ELETRÔNICA;10;10;16;;;;0;3795;1350;360;2445;0;0;;;240;480;1;2020;
292;9296/-2;PEDAGOGIA - BRASÍLIA -  - MT - Licenciado;414231;PEDAGOGIA;10;12;14;;;;0;3240;1020;360;2220;0;0;;;240;420;2;2013;
83;2721/-5;PSICOLOGIA - BRASÍLIA -  - MT - Licenciado;414961;PSICOLOGIA;7;11;14;;;;6;3330;2310;360;1020;6;0;;;225;480;1;2012;
314;2721/-2;PSICOLOGIA - BRASÍLIA -  - MT - Licenciado;414961;PSICOLOGIA;8;11;14;;;;6;3450;1950;360;1500;6;0;;;255;450;1;2017;
241;6181/-2;MEDICINA VETERINÁRIA - BRASÍLIA -  - MT - Médico Veterinário;414202;MEDICINA VETERINÁRIA;10;15;20;;;;0;4200;870;360;3330;0;0;;;270;480;2;2012;
217;3123/-2;CIÊNCIAS SOCIAIS - SOCIOLOGIA - BRASÍLIA -  - MT - Bacharel;414425;CIÊNCIAS SOCIAIS - SOCIOLOGIA;6;10;14;;;;12;2520;930;360;1590;12;0;;;180;450;2;2016;
219;3123/-4;CIÊNCIAS SOCIAIS - SOCIOLOGIA - BRASÍLIA -  - MT - Bacharel;414425;CIÊNCIAS SOCIAIS - SOCIOLOGIA;6;10;14;;;;12;2520;930;360;1590;12;0;;;180;450;1;2012;
389;5665/-3;ARTES VISUAIS - BRASÍLIA -  - N - Licenciado;414551;ARTES VISUAIS;8;11;14;;;;0;2730;1140;360;1590;0;0;;;180;360;2;2016;
428;3727/1;RELAÇÕES INTERNACIONAIS - BRASÍLIA -  - MT - Bacharel;414899;RELAÇÕES INTERNACIONAIS;6;9;12;;;;8;2790;1080;360;1710;8;0;;;240;480;2;2017;
144;3867/-2;GEOGRAFIA - BRASÍLIA -  - MT - Licenciado;414687;GEOGRAFIA;6;9;14;;;;0;2910;60;360;2640;0;0;;;180;510;1;2009;
186;7609/-2;FARMÁCIA - BRASÍLIA -  - N - Bacharel;414287;FARMÁCIA;12;12;18;;;;4;4380;1500;360;2880;4;0;;;255;450;2;2013;
187;7609/-3;FARMÁCIA - BRASÍLIA -  - N - Bacharel;414287;FARMÁCIA;12;15;18;;;;4;4380;1500;360;2880;4;0;;;255;450;2;2010;
