curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
TURISMO,CENTRO DE EXCELENCIA EM TURISMO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,BACHAREL,8.0,12.0,16.0,2640,455,163,245,35.82,53.85,3.68,77.91,22.09,7.98,11.38,11.0,-0.62,33.2,RETENÇÃO ALTA,28,18.0,10.0,13.0,86400.0,6.15
ENGENHARIA DE ENERGIA,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,10.0,10.0,16.0,3825,387,213,116,55.04,29.97,13.15,13.15,86.85,9.39,12.63,13.0,2.63,32.9,RETENÇÃO ALTA,50,29.0,11.0,11.0,142800.0,12.92
CIENCIAS NATURAIS,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,NOTURNO,OUTRA,LICENCIADO,7.0,11.0,16.0,3225,944,259,504,27.44,53.39,5.79,76.45,23.55,0.77,10.12,10.0,-0.88,32.9,RETENÇÃO ALTA,100,75.0,21.0,39.0,360000.0,10.59
ENGENHARIA AUTOMOTIVA,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,OUTRA,BACHAREL,10.0,13.0,16.0,3885,258,100,121,38.76,46.9,9.0,49.0,51.0,21.0,13.68,14.0,0.68,32.5,RETENÇÃO MÉDIA,30,19.0,6.0,5.0,91200.0,11.63
SAUDE COLETIVA,UNB - FACULDADE DA CEILANDIA,DARCY RIBEIRO,NOTURNO,CIENCIAS DA SAUDE,BACHAREL,8.0,10.5,14.0,3225,1214,417,606,34.35,49.92,9.11,53.24,46.76,9.59,10.75,10.0,0.25,31.9,RETENÇÃO MÉDIA,151,97.0,44.0,59.0,472800.0,12.44
MUSICA - CONTRABAIXO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,7,4,3,57.14,42.86,25.0,50.0,50.0,50.0,9.0,9.5,1.0,31.7,RETENÇÃO MÉDIA,0,,,,0.0,0.0
ENGENHARIA FLORESTAL,DEPARTAMENTO DE ENGENHARIA FLORESTAL,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS AGRARIAS,ENGENHEIRO FLORESTAL,8.0,12.0,16.0,3870,621,199,285,32.05,45.89,4.02,47.24,52.76,13.07,12.65,13.0,0.65,31.6,RETENÇÃO MÉDIA,187,138.0,34.0,69.0,684000.0,30.11
EDUCACAO FISICA,FACULDADE DE EDUCACAO FISICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,OUTRA,LICENCIADO,8.0,10.0,12.0,3210,1641,708,827,43.14,50.4,31.92,75.28,24.72,15.11,9.56,9.0,-0.44,30.6,RETENÇÃO MÉDIA,93,74.0,17.0,48.0,380400.0,5.67
ENFERMAGEM,DEPARTAMENTO DE ENFERMAGEM,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,ENFERMEIRO,10.0,11.0,14.5,4230,1196,564,520,47.16,43.48,26.24,52.48,47.52,7.98,11.73,11.0,0.73,30.3,RETENÇÃO MÉDIA,596,448.0,121.0,306.0,2211600.0,49.83
HISTORIA,DEPARTAMENTO DE HISTORIA,DARCY RIBEIRO,NOTURNO,CIENCIAS HUMANAS,LICENCIADO,7.0,11.0,15.0,3405,1182,460,590,38.92,49.92,4.78,70.22,29.78,4.57,10.53,10.0,-0.47,30.3,RETENÇÃO MÉDIA,308,195.0,98.0,130.0,964800.0,26.06
GESTAO AMBIENTAL,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,8.0,12.0,16.0,2790,436,177,217,40.6,49.77,19.77,81.92,18.08,3.39,10.56,10.0,-1.44,30.2,RETENÇÃO MÉDIA,45,34.0,9.0,22.0,163200.0,10.32
